word,star_1,star_2,star_3,star_4,star_5
window,1.0,1.0,3.0,0.0,37.0
2020,0.0,0.0,0.0,4.0,6.0
superbl,0.0,0.0,0.0,1.0,10.0
wholeheartedli,0.0,0.0,0.0,0.0,10.0
paradigm,0.0,0.0,0.0,0.0,14.0
dollar,1.0,0.0,1.0,1.0,9.0
bottom,0.0,0.0,1.0,0.0,38.0
heart,0.0,0.0,0.0,2.0,101.0
wrap,0.0,0.0,0.0,0.0,19.0
ayuda,0.0,0.0,0.0,0.0,79.0
hasta,0.0,0.0,0.0,0.0,16.0
adquirir,0.0,0.0,0.0,0.0,12.0
endeavor,0.0,0.0,0.0,0.0,40.0
food,0.0,0.0,0.0,0.0,7.0
concentr,1.0,0.0,1.0,5.0,65.0
coars,0.0,0.0,0.0,0.0,17.0
road,1.0,2.0,3.0,17.0,201.0
spite,0.0,0.0,0.0,1.0,7.0
ao,0.0,0.0,0.0,0.0,106.0
mesmo,0.0,0.0,0.0,0.0,11.0
tempo,0.0,0.0,0.0,0.0,17.0
certeza,0.0,0.0,0.0,0.0,7.0
nova,0.0,0.0,0.0,0.0,7.0
ter,86.0,86.0,179.0,521.0,10678.0
trick,0.0,0.0,1.0,4.0,362.0
cousr,0.0,0.0,0.0,1.0,16.0
forget,2.0,0.0,0.0,3.0,72.0
pose,0.0,0.0,0.0,0.0,7.0
honor,2.0,0.0,1.0,2.0,41.0
thrive,0.0,0.0,0.0,0.0,7.0
lear,54.0,58.0,136.0,544.0,19828.0
specialti,0.0,0.0,1.0,2.0,7.0
deciph,0.0,1.0,1.0,1.0,4.0
geral,0.0,0.0,0.0,2.0,4.0
sua,6.0,6.0,10.0,10.0,320.0
held,0.0,1.0,0.0,2.0,12.0
convert,0.0,1.0,0.0,1.0,9.0
quot,0.0,0.0,0.0,0.0,16.0
abc,0.0,0.0,0.0,0.0,8.0
suppos,6.0,4.0,3.0,5.0,29.0
grade,6.0,6.0,3.0,11.0,226.0
hep,0.0,0.0,0.0,0.0,6.0
black,0.0,1.0,1.0,1.0,5.0
hole,3.0,6.0,8.0,17.0,497.0
reallif,0.0,1.0,0.0,2.0,38.0
despit,2.0,2.0,1.0,5.0,80.0
assimil,0.0,0.0,0.0,0.0,30.0
nowaday,0.0,0.0,0.0,0.0,19.0
havent,0.0,7.0,2.0,2.0,92.0
allah,0.0,0.0,0.0,0.0,8.0
bud,1.0,0.0,1.0,1.0,14.0
horizon,0.0,0.0,0.0,2.0,38.0
6,3.0,6.0,10.0,25.0,141.0
lie,11.0,4.0,10.0,18.0,617.0
timer,1.0,0.0,1.0,1.0,12.0
sole,1.0,0.0,0.0,3.0,10.0
regret,0.0,0.0,1.0,1.0,99.0
useful,2.0,0.0,0.0,7.0,125.0
fourth,0.0,0.0,0.0,0.0,9.0
troubl,0.0,0.0,3.0,1.0,58.0
greater,0.0,0.0,0.0,4.0,35.0
knowlegd,0.0,0.0,0.0,0.0,17.0
hint,1.0,0.0,1.0,1.0,48.0
trap,0.0,0.0,0.0,0.0,11.0
newcom,0.0,0.0,1.0,1.0,37.0
intend,1.0,1.0,2.0,3.0,54.0
aithank,0.0,0.0,0.0,2.0,8.0
paramet,0.0,0.0,0.0,0.0,5.0
awsom,0.0,0.0,1.0,0.0,61.0
mei,0.0,0.0,0.0,2.0,25.0
methank,0.0,0.0,0.0,0.0,18.0
pass,4.0,7.0,12.0,12.0,520.0
dot,0.0,0.0,1.0,0.0,15.0
addict,0.0,0.0,0.0,0.0,28.0
accept,2.0,1.0,3.0,2.0,27.0
filter,0.0,0.0,0.0,0.0,22.0
packag,0.0,1.0,0.0,3.0,44.0
coach,0.0,0.0,0.0,0.0,30.0
visibl,0.0,1.0,0.0,1.0,8.0
assist,2.0,1.0,2.0,1.0,76.0
il,46.0,42.0,102.0,307.0,8109.0
conduct,1.0,0.0,0.0,4.0,52.0
cous,0.0,0.0,0.0,3.0,120.0
infact,1.0,0.0,0.0,0.0,9.0
welcom,1.0,1.0,0.0,2.0,36.0
whenev,0.0,0.0,1.0,0.0,33.0
cousera,0.0,0.0,0.0,1.0,38.0
golden,0.0,0.0,0.0,0.0,14.0
oportun,0.0,0.0,0.0,1.0,39.0
ton,6.0,4.0,5.0,14.0,493.0
courseraorg,0.0,0.0,0.0,0.0,11.0
site,3.0,1.0,1.0,3.0,56.0
outlook,0.0,0.0,0.0,2.0,16.0
terrif,0.0,0.0,0.0,1.0,41.0
enorm,1.0,0.0,0.0,0.0,28.0
charact,0.0,0.0,0.0,0.0,12.0
grew,0.0,0.0,0.0,0.0,10.0
pathway,0.0,0.0,0.0,0.0,16.0
dull,0.0,2.0,1.0,0.0,15.0
reccommend,0.0,0.0,0.0,0.0,6.0
fill,3.0,3.0,0.0,3.0,166.0
gladli,0.0,0.0,0.0,0.0,9.0
definet,0.0,0.0,0.0,1.0,23.0
welldesign,0.0,0.0,0.0,0.0,45.0
handson,5.0,0.0,0.0,11.0,96.0
cpu,0.0,0.0,0.0,0.0,6.0
wouldnt,2.0,4.0,0.0,5.0,41.0
coursey,0.0,0.0,0.0,0.0,7.0
poor,49.0,35.0,43.0,32.0,32.0
semest,0.0,0.0,0.0,0.0,41.0
apprici,0.0,0.0,0.0,0.0,8.0
curv,1.0,0.0,1.0,3.0,23.0
phase,0.0,0.0,0.0,0.0,53.0
genial,0.0,0.0,0.0,0.0,25.0
pesar,0.0,2.0,0.0,0.0,19.0
estar,2.0,0.0,0.0,0.0,25.0
ingl,5.0,5.0,5.0,6.0,283.0
clarament,0.0,0.0,0.0,0.0,8.0
mil,5.0,3.0,4.0,22.0,560.0
allot,0.0,0.0,0.0,0.0,9.0
leran,0.0,0.0,0.0,0.0,10.0
campu,0.0,0.0,0.0,0.0,6.0
contact,1.0,0.0,0.0,0.0,18.0
overcom,0.0,0.0,0.0,2.0,177.0
insid,1.0,1.0,0.0,3.0,39.0
conoc,0.0,0.0,1.0,2.0,148.0
cual,0.0,1.0,0.0,0.0,69.0
ya,1.0,0.0,1.0,6.0,98.0
accord,0.0,0.0,2.0,1.0,61.0
interestingli,0.0,0.0,0.0,0.0,25.0
fo,81.0,80.0,167.0,455.0,11317.0
written,9.0,7.0,5.0,5.0,78.0
compel,1.0,0.0,0.0,0.0,23.0
rest,15.0,24.0,42.0,164.0,3894.0
atleast,1.0,0.0,1.0,1.0,7.0
score,0.0,1.0,0.0,4.0,32.0
influenti,0.0,0.0,0.0,0.0,7.0
gone,3.0,0.0,2.0,3.0,42.0
formula,0.0,0.0,0.0,1.0,46.0
rock,0.0,0.0,0.0,0.0,43.0
exit,0.0,0.0,0.0,1.0,18.0
post,4.0,1.0,4.0,2.0,51.0
commonli,0.0,0.0,0.0,0.0,9.0
thrown,3.0,0.0,2.0,1.0,7.0
produc,3.0,8.0,4.0,8.0,342.0
output,0.0,0.0,0.0,3.0,29.0
aptli,0.0,0.0,0.0,0.0,7.0
clip,0.0,0.0,2.0,0.0,12.0
junior,0.0,0.0,0.0,0.0,34.0
aliv,0.0,0.0,0.0,0.0,20.0
goodi,0.0,0.0,0.0,0.0,10.0
attach,0.0,0.0,1.0,0.0,15.0
clean,0.0,0.0,2.0,1.0,30.0
stress,2.0,2.0,2.0,4.0,89.0
polish,0.0,2.0,0.0,1.0,26.0
statist,1.0,0.0,0.0,1.0,19.0
foot,0.0,0.0,0.0,1.0,11.0
tha,2.0,4.0,24.0,239.0,10609.0
benifici,0.0,0.0,0.0,1.0,5.0
mile,0.0,0.0,0.0,0.0,36.0
perfecto,0.0,0.0,0.0,2.0,13.0
iniciars,0.0,0.0,0.0,0.0,18.0
broadli,0.0,1.0,0.0,2.0,8.0
courc,0.0,1.0,0.0,2.0,56.0
span,1.0,2.0,0.0,2.0,43.0
investig,0.0,0.0,0.0,0.0,6.0
crave,0.0,0.0,0.0,0.0,9.0
fetch,0.0,0.0,2.0,2.0,8.0
nail,0.0,0.0,1.0,0.0,15.0
valueabl,0.0,0.0,0.0,0.0,7.0
stone,0.0,1.0,0.0,2.0,28.0
com,70.0,65.0,119.0,329.0,10276.0
succeed,0.0,1.0,0.0,1.0,75.0
pragmat,0.0,0.0,0.0,1.0,20.0
elemento,0.0,0.0,0.0,0.0,6.0
clave,0.0,0.0,1.0,1.0,6.0
vale,0.0,0.0,0.0,0.0,11.0
hacerlo,0.0,0.0,0.0,0.0,9.0
hat,5.0,2.0,11.0,11.0,254.0
thousand,0.0,0.0,2.0,1.0,20.0
